,pk,popularity,title,vote_count,vote_average,genres,director,genres_literal,weighted_vote
939,11656,11.649,처녀의 샘,,7.8,"['Crime', 'Drama', 'Thriller']",Ingmar Bergman,Crime Drama Thriller,
940,354857,43.004,Regular Show: The Movie,,7.8,"['Animation', 'Comedy', 'Science Fiction', 'TV Movie']",J.G. Quintel,Animation Comedy Science Fiction TV Movie,
941,25253,5.776,Les Tontons flingueurs,,7.8,"['Action', 'Comedy', 'Crime']",Alain Poiré,Action Comedy Crime,
942,335578,13.097,랜드 오브 마인,,7.8,"['War', 'Drama', 'History']",Molly Malene Stensgaard,War Drama History,
943,25606,9.037,판토치,,7.8,['Comedy'],Leonardo Benvenuti,Comedy,
944,136,13.237,프릭스,,7.8,"['Drama', 'Horror']",Tod Browning,Drama Horror,
945,887,7.667,우리 생애 최고의 해,,7.8,"['Drama', 'Romance', 'War']",Gregg Toland,Drama Romance War,
946,573699,50.632,백사 : 인연의 시작,,7.8,"['Romance', 'Animation', 'Fantasy']",Chen Guang,Romance Animation Fantasy,
947,5000,5.838,금지된 장난,,7.8,"['Drama', 'History']",René Clément,Drama History,
948,502,9.561,핵전략 사령부,,7.8,"['Drama', 'Thriller', 'War']",Albert Brenner,Drama Thriller War,
949,613,14.392,다운폴,,7.8,"['Drama', 'History', 'War']",Oskar Roehler,Drama History War,
950,503314,121.488,드래곤볼 슈퍼: 브로리,,7.8,"['Action', 'Science Fiction', 'Animation']",Akira Toriyama,Action Science Fiction Animation,
951,446159,11.826,바쿠라우,,7.8,"['Mystery', 'Western', 'Thriller']",Saïd Ben Saïd,Mystery Western Thriller,
952,968,14.038,뜨거운 오후,,7.8,"['Crime', 'Drama', 'Thriller']",Martin Bregman,Crime Drama Thriller,
953,12,113.343,니모를 찾아서,,7.8,"['Animation', 'Family']",Andrew Stanton,Animation Family,
954,805,16.915,악마의 씨,,7.8,"['Drama', 'Horror', 'Thriller']",Roman Polanski,Drama Horror Thriller,
955,80,14.246,비포 선셋,,7.8,"['Drama', 'Romance']",Richard Linklater,Drama Romance,
956,314365,18.418,스포트라이트,,7.8,"['Drama', 'History']",Steve Golin,Drama History,
957,5915,18.52,인투 더 와일드,,7.8,"['Adventure', 'Drama']",Jack Nicholson,Adventure Drama,
958,674,215.86,해리 포터와 불의 잔,,7.8,"['Adventure', 'Fantasy', 'Family']",Roger Pratt,Adventure Fantasy Family,
